"report_date","previous_day_doses_administered","total_doses_administered","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated"
2020-12-24,NA,10756,"",""
2020-12-30,4595,18603,"",""
2020-12-31,5463,23502,"",""
2021-01-01,5415,28887,"",""
2021-01-02,4305,33191,"",""
2021-01-03,4361,37551,"",""
2021-01-04,4808,42419,"",""
2021-01-05,7607,50030,"",""
2021-01-06,10350,60380,"860","430"
2021-01-07,12251,72631,"2,173","1,087"
2021-01-08,14932,87563,"4,053","2,027"
2021-01-09,15700,103263,"5,880","2,940"
2021-01-10,9983,113246,"5,884","2,942"
2021-01-11,8859,122105,"5,884","2,942"
2021-01-12,11448,133553,"6,046","3,023"
2021-01-13,11231,144784,"8,778","4,389"
2021-01-14,14237,159021,"13,293","6,647"
2021-01-15,15609,174630,"17,094","8,547"
2021-01-16,14460,189090,"19,333","9,667"
2021-01-17,11007,200097,"21,714","10,857"
2021-01-18,9691,209788,"21,752","10,876"
2021-01-19,14346,224134,"25,609","12,805"
2021-01-20,13784,237918,"32,361","16,181"
2021-01-21,15899,253817,"40,225","20,113"
2021-01-22,11168,264985,"49,292","24,646"
2021-01-23,11161,276146,"57,907","28,954"
2021-01-24,4427,280573,"62,881","31,441"
2021-01-25,5537,286110,"71,256","35,628"
2021-01-26,9707,295817,"83,285","41,643"
2021-01-27,9513,305330,"96,459","48,230"
2021-01-28,11910,317240,"110,571","55,286"
2021-01-29,10215,327455,"123,357","61,679"
2021-01-30,9373,336828,"135,574","67,787"
